id_persona|numero_cedula|nombre|apellido|peso|altura|sexo|edad|ciudad
1|0991946723|Camila|Ramírez|65.4|1.72|M|32|Guayaquil
2|0176600841|Ana|Herrera|68.0|1.46|F|27|Cuenca
3|1717009159|Camila|Cedeño|94.5|1.66|M|42|Quito
4|0113406285|José|Ramírez|69.4|1.45|F|32|Cuenca
5|1787050581|María|Herrera|83.5|1.7|M|20|Quito
6|0142540113|María|Pérez|68.3|1.57|F|18|Cuenca
7|0978168132|Pedro|Pérez|62.4|1.57|F|30|Guayaquil
8|1719482275|José|Pérez|58.4|1.5|F|23|Quito
9|1706871965|Sofía|Torres|57.9|1.56|F|22|Quito
10|0912204169|Sofía|Vera|59.4|1.62|F|32|Guayaquil
11|0989666118|Carlos|López|66.2|1.68|F|46|Guayaquil
12|0904491813|Pedro|Vera|77.6|1.78|M|33|Guayaquil
13|0953691870|Luis|Ramírez|88.0|1.81|M|23|Guayaquil
14|1762499512|Camila|Herrera|79.6|1.69|M|46|Quito
15|0182039990|Carlos|Herrera|82.4|1.9|M|46|Cuenca
16|1734989928|Pedro|Herrera|64.6|1.56|F|35|Quito
17|1782970890|Pedro|Ramírez|65.7|1.48|F|44|Quito
18|0149391257|Pedro|Herrera|78.1|1.86|M|37|Cuenca
19|1783088103|Carlos|López|51.7|1.69|F|49|Quito
20|1788229485|Juan|García|76.9|1.59|M|20|Quito
21|1710919642|Sofía|Cedeño|58.1|1.69|F|24|Quito
22|1771037078|Juan|Moreno|89.0|1.75|M|38|Quito
23|1724160341|Juan|Vera|63.6|1.85|M|48|Quito
24|1773633747|Sofía|Torres|52.7|1.57|F|18|Quito
25|1790715002|José|López|81.3|1.76|M|25|Quito
26|1780073634|Sofía|García|74.4|1.64|F|27|Quito
27|0927208716|José|Mendoza|77.0|1.83|M|31|Guayaquil
28|1792409432|Camila|Mendoza|64.3|1.68|F|50|Quito
29|0973349577|José|Ramírez|57.9|1.58|F|29|Guayaquil
30|0999161758|Laura|Torres|57.3|1.68|F|40|Guayaquil
31|0963719021|José|Cedeño|83.0|1.72|F|37|Guayaquil
32|0924588215|José|Herrera|84.6|1.72|M|50|Guayaquil
33|0976215210|Camila|Torres|73.6|1.71|M|21|Guayaquil
34|0927487550|Juan|Vera|79.9|1.7|M|21|Guayaquil
35|1783075598|José|Cedeño|64.3|1.84|M|26|Quito
36|0157430240|María|Ramírez|75.3|1.53|F|31|Cuenca
37|1722068237|Carlos|Torres|72.7|1.69|M|32|Quito
38|1766992257|Juan|Pérez|67.1|1.64|M|44|Quito
39|0144270461|Luis|Mendoza|55.6|1.71|F|19|Cuenca
40|0950375357|Juan|Ramírez|76.2|1.83|M|39|Guayaquil
41|0150828405|José|García|82.8|1.85|M|39|Cuenca
42|0903351429|Camila|Ramírez|80.0|1.75|M|19|Guayaquil
43|0962361732|Carlos|Torres|90.7|1.78|M|22|Guayaquil
44|0960351328|Ana|Moreno|71.6|1.82|M|49|Guayaquil
45|0907351818|Sofía|Torres|72.7|1.95|M|21|Guayaquil
46|0941590908|Ana|Cedeño|81.7|1.8|M|39|Guayaquil
47|1752523316|Ana|Cedeño|83.0|1.81|M|35|Quito
48|0939394594|Laura|Pérez|68.0|1.92|M|36|Guayaquil
49|0990975896|Juan|Ramírez|65.5|1.66|F|35|Guayaquil
50|0979458290|Ana|Cedeño|68.0|1.63|F|29|Guayaquil
51|0995641070|Pedro|Mendoza|91.5|1.75|M|45|Guayaquil
52|0975238972|Carlos|Cedeño|64.0|1.62|F|29|Guayaquil
53|0953372262|José|Vera|67.1|1.53|F|47|Guayaquil
54|0928672052|Laura|Cedeño|66.0|1.79|M|47|Guayaquil
55|0934904148|Pedro|Pérez|61.4|1.85|M|46|Guayaquil
56|1786988499|Juan|Cedeño|78.4|1.61|M|24|Quito
57|0972959885|Carlos|Pérez|72.5|1.56|M|28|Guayaquil
