id_pedido,fecha,cliente,pais,producto,cantidad,precio_unitario,total
A0001,2025-01-12,Paula del Oliva,Ecuador,Laptop,4,950,3800
A0002,2025-01-01,Imelda Pozo Expósito,Perú,Monitor,5,200,1000
A0003,2025-01-23,Patricia Esteve Armas,Chile,Teclado,3,35,105
A0004,2025-01-18,Emma Acero Cáceres,Ecuador,Tablet,5,250,1250
A0005,2025-01-06,Jeremías del Río,Ecuador,Silla ergonómica,5,150,750
A0006,2025-01-15,Gaspar Zabala Pomares,Colombia,Laptop,2,950,1900
A0007,2025-01-18,Custodio Galiano Quintanilla,Ecuador,Mouse,3,20,60
A0008,2025-01-03,Florentino Roig Asensio,Chile,Monitor,3,200,600
A0009,2025-01-10,Salomón Segarra Verdú,Argentina,Silla ergonómica,3,150,450
A0010,2025-01-10,Germán Donato Marco Mateos,Ecuador,Tablet,5,250,1250
A0011,2025-01-07,Nazario Emiliano Valenciano Sedano,Chile,Tablet,4,250,1000
A0012,2025-01-08,Daniel Córdoba Guzman,Colombia,Monitor,3,200,600
A0013,2025-01-02,Camilo Azcona Rios,Colombia,Silla ergonómica,5,150,750
A0014,2025-01-17,Abigaíl Goicoechea Franco,Perú,Laptop,2,950,1900
A0015,2025-01-13,Lucas Téllez,Chile,Webcam,4,70,280
A0016,2025-01-14,Susanita Manzanares-Amador,Perú,Impresora,2,300,600
A0017,2025-01-07,Magdalena Barba Chaparro,Chile,Monitor,4,200,800
A0018,2025-01-03,Álvaro Francisco Rodríguez,Perú,Mouse,5,20,100
A0019,2025-01-25,Ainoa Salcedo Mir,Ecuador,Webcam,1,70,70
A0020,2025-01-12,Isidro Alcolea Galán,Ecuador,Audífonos,4,50,200
A0021,2025-01-23,Jesusa Castejón Abril,Perú,Silla ergonómica,2,150,300
A0022,2025-01-15,Victor del Cruz,Perú,Laptop,5,950,4750
A0023,2025-01-04,Felicia Alfaro Andrade,Colombia,Tablet,4,250,1000
A0024,2025-01-22,Bibiana Quesada Guerrero,Ecuador,Webcam,1,70,70
A0025,2025-01-15,Rosalía Vilar Campos,Ecuador,Tablet,1,250,250
A0026,2025-01-26,Inés Alemany Alcalde,Perú,Silla ergonómica,3,150,450
A0027,2025-01-15,Valeria Iriarte Adán,Perú,Silla ergonómica,3,150,450
A0028,2025-01-25,María Dolores Cerdá Ramón,Chile,Mouse,2,20,40
A0029,2025-01-14,Nayara Gordillo Querol,Ecuador,Monitor,4,200,800
A0030,2025-01-08,Noemí Aznar Sedano,Perú,Mouse,4,20,80
A0031,2025-01-19,Blas Simó,Chile,Mouse,3,20,60
A0032,2025-01-16,Aarón Quintanilla Pujol,Colombia,Impresora,4,300,1200
A0033,2025-01-15,Heliodoro Casal,Colombia,Audífonos,4,50,200
A0034,2025-01-27,Estela Celia Donoso Espinosa,Chile,Audífonos,1,50,50
A0035,2025-01-23,Rubén Rincón Robledo,Perú,Monitor,3,200,600
A0036,2025-01-20,Lucía Gras Tolosa,Perú,Mouse,5,20,100
A0037,2025-01-16,Agustín Sainz,Argentina,Teclado,3,35,105
A0038,2025-01-19,Angélica Jáuregui Cañete,Argentina,Monitor,5,200,1000
A0039,2025-01-27,Leonor Rosa Sedano,Chile,Router,1,100,100
A0040,2025-01-10,Hortensia Otero Carro,Colombia,Impresora,2,300,600
A0041,2025-01-22,Elba Rozas Barón,Argentina,Monitor,4,200,800
A0042,2025-01-19,Goyo Onofre Juan Pujadas,Perú,Laptop,1,950,950
A0043,2025-01-08,Godofredo Sanz Moreno,Chile,Laptop,4,950,3800
A0044,2025-01-08,Berto Rius Moya,Perú,Webcam,2,70,140
A0045,2025-01-04,Fabiana Calderón Valderrama,Perú,Mouse,2,20,40
A0046,2025-01-06,Victor Manuel Jódar Mata,Chile,Silla ergonómica,1,150,150
A0047,2025-01-07,Cipriano Corbacho Nieto,Perú,Monitor,2,200,400
A0048,2025-01-06,Concha Cañete Cuevas,Colombia,Webcam,5,70,350
A0049,2025-01-14,Samu Ayuso,Colombia,Teclado,2,35,70
A0050,2025-01-11,Nerea Simó-Segura,Perú,Teclado,4,35,140
A0051,2025-01-27,Tamara del Barberá,Chile,Tablet,4,250,1000
A0052,2025-01-08,Cruz Ros Aguilera,Argentina,Impresora,4,300,1200
A0053,2025-01-15,Gil Nogueira Granados,Argentina,Webcam,4,70,280
A0054,2025-01-14,Rodolfo Santamaría Hurtado,Argentina,Webcam,5,70,350
A0055,2025-01-05,Ricarda Elorza Granados,Perú,Monitor,3,200,600
A0056,2025-01-24,Rodrigo Bernal-Sobrino,Chile,Tablet,1,250,250
A0057,2025-01-15,Amada Tomé Sarabia,Colombia,Mouse,4,20,80
A0058,2025-01-19,Wálter Martí Tena,Ecuador,Mouse,2,20,40
A0059,2025-01-11,Francisco Javier Molina Barco,Chile,Teclado,4,35,140
A0060,2025-01-07,Pelayo Fuente Alba,Colombia,Silla ergonómica,2,150,300
A0061,2025-01-11,Sergio Aguilera Berenguer,Ecuador,Webcam,2,70,140
A0062,2025-01-13,Encarnita Pol Escolano,Colombia,Silla ergonómica,4,150,600
A0063,2025-01-11,Rogelio Pinedo Casares,Colombia,Tablet,5,250,1250
A0064,2025-01-27,Eustaquio Hurtado España,Perú,Tablet,2,250,500
A0065,2025-01-22,María Carmen Gutiérrez-Escrivá,Ecuador,Mouse,2,20,40
A0066,2025-01-05,Eusebia Paniagua,Argentina,Impresora,4,300,1200
A0067,2025-01-23,Leticia Cervantes,Perú,Mouse,2,20,40
A0068,2025-01-05,Atilio Echevarría-Sebastián,Perú,Webcam,2,70,140
A0069,2025-01-23,Ema Alcántara Araujo,Chile,Router,4,100,400
A0070,2025-01-03,Nazario Gómez Menendez,Ecuador,Impresora,4,300,1200
A0071,2025-01-07,Raimundo Calatayud-Herrera,Argentina,Teclado,1,35,35
A0072,2025-01-23,Clarisa Peral Tenorio,Argentina,Mouse,5,20,100
A0073,2025-01-14,Eulalia Tenorio Castilla,Perú,Tablet,5,250,1250
A0074,2025-01-19,Maricela Margarita Clemente Guardiola,Argentina,Monitor,2,200,400
A0075,2025-01-04,Begoña Peñalver Garay,Chile,Audífonos,5,50,250
A0076,2025-01-10,Toni Arcos,Chile,Tablet,2,250,500
A0077,2025-01-01,Francisco Jose Gil Nicolás,Argentina,Laptop,1,950,950
A0078,2025-01-21,Ligia Vallés-Zapata,Argentina,Audífonos,4,50,200
A0079,2025-01-09,Úrsula Navas Maestre,Colombia,Laptop,4,950,3800
A0080,2025-01-22,Aureliano Morell Arco,Ecuador,Audífonos,4,50,200
A0081,2025-01-07,Alcides Guitart Toro,Perú,Monitor,5,200,1000
A0082,2025-01-21,Paula Varela Garay,Ecuador,Monitor,1,200,200
A0083,2025-01-04,Dorotea Tovar Girona,Argentina,Mouse,5,20,100
A0084,2025-01-20,Salomé Alcaraz-Andres,Ecuador,Router,5,100,500
A0085,2025-01-25,Jose Francisco Quintero Matas,Ecuador,Tablet,1,250,250
A0086,2025-01-15,Guillermo de Pardo,Chile,Teclado,1,35,35
A0087,2025-01-21,Renata Águila Galvez,Colombia,Tablet,1,250,250
A0088,2025-01-13,Samuel de Arce,Chile,Impresora,1,300,300
A0089,2025-01-02,Aarón Núñez Recio,Argentina,Silla ergonómica,4,150,600
A0090,2025-01-27,Emilia Olivares Aparicio,Colombia,Monitor,3,200,600
A0091,2025-01-10,Edu Teobaldo Benavent Roura,Argentina,Monitor,3,200,600
A0092,2025-01-26,Rosario Montaña Torralba,Perú,Webcam,1,70,70
A0093,2025-01-21,Alfonso Sabater Carretero,Perú,Router,3,100,300
A0094,2025-01-18,Jacinto Coll,Argentina,Router,3,100,300
A0095,2025-01-18,Wilfredo Mendoza-Vizcaíno,Ecuador,Monitor,1,200,200
A0096,2025-01-21,Loreto de Zamorano,Chile,Mouse,3,20,60
A0097,2025-01-03,Rosendo del Seguí,Perú,Laptop,5,950,4750
A0098,2025-01-16,Jerónimo Escudero Peña,Argentina,Tablet,2,250,500
A0099,2025-01-08,Espiridión Rodríguez Ferrán,Chile,Silla ergonómica,2,150,300
A0100,2025-01-16,Tristán Camilo Marco Girón,Chile,Laptop,1,950,950
A0101,2025-01-22,Lidia Poza-Escalona,Ecuador,Laptop,4,950,3800
A0102,2025-01-23,Hermenegildo Arrieta Salom,Chile,Mouse,1,20,20
