id_pedido,fecha,cliente,pais,producto,cantidad,precio_unitario,total
C0001,2025-03-02,Albano Vigil Diaz,Perú,Impresora,4,300,1200
C0002,2025-03-10,Lupe Ayuso,Colombia,Webcam,3,70,210
C0003,2025-03-23,Nélida Lobo Hernández,Perú,Router,2,100,200
C0004,2025-03-16,Adelina Moles Duran,Perú,Monitor,1,200,200
C0005,2025-03-19,Febe Méndez,Colombia,Impresora,5,300,1500
C0006,2025-03-08,Nacio Tejedor Riera,Argentina,Silla ergonómica,5,150,750
C0007,2025-03-17,Susanita Bauzà,Colombia,Silla ergonómica,1,150,150
C0008,2025-03-16,Ignacio Amaya Carbonell,Ecuador,Laptop,1,950,950
C0009,2025-03-16,Eufemia Gárate Manzano,Argentina,Audífonos,2,50,100
C0010,2025-03-26,Edgardo Noriega Calleja,Argentina,Silla ergonómica,3,150,450
C0011,2025-03-23,Rosalina Ignacia León Viña,Argentina,Impresora,5,300,1500
C0012,2025-03-22,Purificación Ligia Moles Carranza,Perú,Mouse,2,20,40
C0013,2025-03-14,Fabiola de Vara,Colombia,Mouse,3,20,60
C0014,2025-03-20,Cirino Landa Barrera,Perú,Impresora,2,300,600
C0015,2025-03-27,Rogelio Recio Lobato,Perú,Impresora,5,300,1500
C0016,2025-03-23,Lilia Guitart Amorós,Perú,Impresora,1,300,300
C0017,2025-03-09,Ángela Susanita Carbó Carbonell,Chile,Teclado,1,35,35
C0018,2025-03-03,Nicolasa Arce Lopez,Argentina,Monitor,3,200,600
C0019,2025-03-12,Gala Ochoa Bermúdez,Ecuador,Silla ergonómica,4,150,600
C0020,2025-03-15,Nacio Balaguer Casanova,Colombia,Audífonos,3,50,150
C0021,2025-03-04,Rosa Lorenzo-Madrigal,Chile,Laptop,4,950,3800
C0022,2025-03-13,Onofre Juan Murcia,Colombia,Impresora,2,300,600
C0023,2025-03-14,Jenaro Ferrándiz Ocaña,Perú,Webcam,2,70,140
C0024,2025-03-10,Miguel Ángel Pi Torralba,Colombia,Webcam,5,70,350
C0025,2025-03-13,Vicenta Perales Linares,Ecuador,Silla ergonómica,4,150,600
C0026,2025-03-01,Martín Mayo Vizcaíno,Argentina,Monitor,5,200,1000
C0027,2025-03-17,Julieta Etelvina Azorin Losa,Perú,Monitor,1,200,200
C0028,2025-03-25,Pepita Ferrández Casanovas,Argentina,Router,4,100,400
C0029,2025-03-22,Guillermo Morera Barrios,Perú,Tablet,3,250,750
C0030,2025-03-02,Mauricio Palomar Folch,Perú,Teclado,1,35,35
C0031,2025-03-26,Jenny Barrio Carro,Argentina,Teclado,1,35,35
C0032,2025-03-14,Sergio Baeza Rius,Perú,Mouse,3,20,60
C0033,2025-03-09,Ricardo Carmona Armengol,Colombia,Teclado,1,35,35
C0034,2025-03-03,María Manuela Uribe Cobos,Perú,Tablet,4,250,1000
C0035,2025-03-22,Florinda Zabala Santamaría,Chile,Audífonos,5,50,250
C0036,2025-03-24,Clemente Galvez Aliaga,Ecuador,Monitor,1,200,200
C0037,2025-03-05,Nazario de Pedrero,Perú,Monitor,4,200,800
C0038,2025-03-27,Valentina Águila Caro,Perú,Webcam,2,70,140
C0039,2025-03-12,Domingo Alvarez Prada,Perú,Audífonos,4,50,200
C0040,2025-03-12,Antonio Vall Ortega,Perú,Silla ergonómica,5,150,750
C0041,2025-03-25,Heraclio Fajardo,Perú,Router,4,100,400
C0042,2025-03-17,Eliseo Juan,Ecuador,Router,3,100,300
C0043,2025-03-01,Danilo Vidal Girón,Ecuador,Silla ergonómica,5,150,750
C0044,2025-03-22,Enrique Almagro Calderón,Argentina,Silla ergonómica,2,150,300
C0045,2025-03-15,José María Losa,Ecuador,Router,3,100,300
C0046,2025-03-17,Isabela Ramón Ropero,Chile,Tablet,4,250,1000
C0047,2025-03-23,Xavier Pascual Sacristán Durán,Ecuador,Webcam,5,70,350
C0048,2025-03-04,Crescencia Estefanía Rincón Romeu,Argentina,Impresora,2,300,600
C0049,2025-03-14,Nazario Flor Santos,Colombia,Laptop,3,950,2850
C0050,2025-03-16,Damián Lopez Maldonado,Chile,Teclado,2,35,70
C0051,2025-03-14,Mohamed Puente Sierra,Chile,Audífonos,4,50,200
C0052,2025-03-17,Epifanio Palma,Colombia,Silla ergonómica,2,150,300
C0053,2025-03-10,Reynaldo Piquer-Sarmiento,Colombia,Teclado,1,35,35
C0054,2025-03-15,Elvira de Torrecilla,Perú,Teclado,3,35,105
C0055,2025-03-01,Etelvina Almeida Contreras,Ecuador,Router,2,100,200
C0056,2025-03-15,Abigaíl Losada Corominas,Perú,Teclado,4,35,140
C0057,2025-03-15,Humberto Solana Acevedo,Perú,Laptop,4,950,3800
C0058,2025-03-19,Jovita Cobo-Beltrán,Ecuador,Router,2,100,200
C0059,2025-03-22,Martín Sastre,Perú,Monitor,4,200,800
C0060,2025-03-01,Natividad Gallart Montaña,Chile,Silla ergonómica,5,150,750
C0061,2025-03-19,Carina Garriga-Hernandez,Chile,Router,5,100,500
